x1,y1,z1,phix1,phiy1,phiz1,arm_1_joint,arm_2_joint,arm_3_joint,arm_4_joint,arm_5_joint,arm_6_joint,arm_7_joint,head_1_joint,head_2_joint,Unnamed: 15,torso_lift_joint
0.191358,0.211313,0.729554,2.60663,0.376787,-0.203362,0.0633677,-0.41689499999999996,-2.87796,0.325352,-1.39283,1.2884,1.33588,-1.2322600000000001,0.103967,,0
-0.0342111,-0.0583649,0.581232,2.445,-0.12671300000000002,-0.0579887,0.935781,-0.79978,-1.855,2.34075,0.8797280000000001,0.824332,-0.48439,0.223646,-0.306648,,0
0.0816521,0.132949,0.594618,2.3441,-0.21331999999999998,0.00832615,0.298458,-1.2927,-0.9779479999999999,2.0891,1.10102,0.00767857,-0.755473,0.836715,-0.436087,,0
0.30139299999999997,0.0463115,0.6369600000000001,2.8468400000000003,0.040002800000000005,-0.0639115,1.32033,-1.29263,-2.58897,1.30329,1.26168,-0.9956790000000001,-0.974518,0.783656,-0.445767,,0
0.22311999999999999,-0.00862531,0.592806,2.58142,0.372314,-0.106473,1.25065,-0.359724,-3.22023,1.35574,1.43872,-0.34862600000000005,-1.50763,-0.028200599999999996,0.307521,,0
0.264373,-0.11311700000000001,0.884524,2.56763,0.00349508,-0.155747,0.338219,-1.16487,-2.395,0.999964,1.01075,-0.654123,-0.860275,-0.249651,-0.7951590000000001,,0
-0.1689,-0.0606895,0.5397569999999999,3.0576,0.300931,-0.0140368,1.32991,-1.56283,-2.23703,1.72728,-1.1012600000000001,0.9191299999999999,0.457492,0.049462,-0.562181,,0
0.318377,-0.009832500000000001,0.9075840000000001,2.49286,-0.236965,0.11062999999999999,1.31613,-0.545114,1.5625200000000001,0.115547,-0.6331100000000001,-1.17977,-0.693295,0.260461,-0.51742,,0
0.16758599999999998,-0.0801737,0.634799,2.53266,0.054599400000000006,0.0529965,0.802887,-1.29647,-3.31768,2.1337200000000003,-0.7372770000000001,-0.334041,0.911069,-0.582241,-0.363819,,0
-0.187395,0.09788689999999999,0.577761,2.44975,-0.061210099999999996,-0.0536475,2.44577,-1.38459,1.36,1.96185,-2.0926400000000003,0.0552227,1.88448,-1.04372,-0.47715100000000005,,0
