x1,y1,z1,phix1,phiy1,phiz1,arm_1_joint,arm_2_joint,arm_3_joint,arm_4_joint,arm_5_joint,arm_6_joint,arm_7_joint,head_1_joint,head_2_joint,
0.317881,0.0234485,0.902515,2.34761,0.166046,-0.169725,0.394454,-0.317697,-0.801976,-0.23292,0.182496,0.865358,2.07193,-0.800284,-0.25384,
0.413844,0.0186789,0.968778,2.24114,0.179003,-0.22295,0.609807,-0.516058,-0.827363,0.506699,-0.197024,0.847465,1.69078,0.0160601,-0.734431,
-0.053875,0.26827,0.938504,2.21481,-0.15695,0.0764885,0.0815002,-0.763556,-1.48144,0.882953,0.084065,1.02323,1.0763,-1.09818,-0.32606,
-0.169728,0.068715,0.672503,2.33019,0.0175187,0.0110131,2.03386,-1.1332,1.5243,1.92963,-0.985002,-0.148267,0.558721,-1.15331,-0.530225,
0.16261,0.0457155,0.972147,2.21904,0.161333,0.0114072,0.76029,-1.08391,-2.98579,1.16272,-1.2442,0.113624,1.24781,-0.557107,-0.468303,
-0.111459,-0.0820235,0.554169,2.60538,-0.253678,0.213598,2.69094,-0.469815,1.40572,2.13715,-0.452417,-0.882436,0.0196218,-0.135516,-0.490693,
-0.100446,0.211679,0.641654,2.52969,0.136598,-0.0985125,1.69776,0.320617,-0.0460441,0.155031,1.52334,1.38565,1.30312,0.0181978,0.57841,
0.104397,-0.100725,1.02239,2.28053,0.340243,-0.142055,0.704906,-0.313753,1.20932,0.390283,-0.392201,-0.681433,-1.69843,-0.986387,-0.51286,
0.0365783,0.126182,0.781232,2.47373,-0.234248,0.0777498,1.02431,-0.492421,-1.4043,1.40432,0.0429278,1.0785,1.08295,0.238869,-0.2147,
-0.075783,0.0635753,0.447346,2.58702,0.102727,-0.0975935,0.192976,-1.41359,-0.406744,2.2175,-0.215135,0.709569,-0.306402,0.537049,-0.46253,
0.173229,0.0600381,0.472703,2.46176,-0.113581,0.0255031,1.67259,-1.0674,-2.82874,2.27997,-0.393366,-0.150817,0.988113,0.848049,0.154967,
0.313828,-0.0816646,0.735042,2.38787,0.387301,-0.131653,1.61897,0.481927,0.883556,1.39412,1.79486,1.4025,2.07133,0.0812752,-0.213624,
0.085006,0.102928,0.99686,2.28364,-0.0201237,0.0308541,2.6007,-0.241998,-2.16598,-0.0603947,-0.787946,0.832964,1.84048,1.16413,-0.172332,
-0.0232128,0.107729,0.790138,2.77561,-0.45524,0.191009,1.47526,-1.10117,-3.04878,0.535111,1.71393,-1.39406,-1.18021,-0.127574,-0.461071,
0.253471,0.239545,0.852795,2.43453,-0.116255,0.160125,1.07328,-0.844667,-1.20758,0.796512,-0.32016,1.19658,1.61093,0.515206,-0.452208,
0.0457912,0.200038,0.958436,2.3413,-0.0581366,0.224899,1.14402,-0.705372,-0.612627,-0.196843,1.10199,0.980398,1.76275,-0.490926,-0.3227,
0.164912,0.143815,0.609431,2.19039,-0.106202,0.0983649,1.24131,-1.12725,-3.26685,2.14775,-0.56522,-0.493304,1.02908,0.0157179,0.0637235,
-0.0184507,0.111553,0.430118,2.74651,0.148196,0.0322778,1.21125,-0.192526,-2.14809,1.55681,-0.322752,1.16826,0.504723,0.0875292,0.547607,
-0.0840173,0.156149,0.879515,2.45826,-0.237095,0.184287,2.51129,-0.088342,0.200165,0.413894,1.8111,1.34349,1.84651,0.825197,-0.0574149,
0.0609082,-0.0195196,0.993335,2.26373,0.0963162,-0.0459658,0.59561,-0.0985457,-3.02702,-0.0878397,1.69385,-0.634207,-1.65514,-0.938199,-0.248951,
0.269649,0.0962858,0.701818,2.42481,0.316726,-0.15881,2.1285,-1.44697,-3.41383,1.76395,0.520225,-0.585859,-0.592247,0.964511,-0.331009,
0.219016,0.139921,0.769321,2.44602,0.247348,-0.113035,1.37087,-1.43042,-2.80489,1.50195,1.18611,-0.534415,-1.28478,0.470431,-0.355018,
-0.255964,0.00125638,0.840715,2.27162,-0.249703,0.136019,2.68811,0.529122,0.539215,1.1059,-1.18248,-1.11018,-1.23853,0.600824,-0.0746457,
-0.176585,0.109435,0.710319,2.78886,0.084223,0.0449253,2.2919,-1.16569,-2.80325,1.04713,-1.07598,1.16685,1.00254,0.562828,-0.315994,
0.288443,-0.0407011,0.606897,2.52152,-0.21301,0.0644685,0.338846,-1.40101,-2.07636,1.98495,0.0458884,-0.494367,0.532187,0.363217,-0.591468,
0.00774246,0.035137,0.323152,2.9141,-0.0519701,0.0547853,0.758145,-1.07208,-0.982787,2.33845,-0.556141,1.00683,0.254769,0.516061,-0.279478,
-0.107527,-0.106391,0.701676,2.54474,-0.643047,0.26386,2.08037,-0.944428,-3.3255,1.62846,0.758034,-0.220789,-0.195614,0.317724,-0.258656,
0.296303,-0.0236766,0.857491,2.39398,-0.0248148,0.146294,2.37764,0.0538071,0.464882,-0.223065,-1.31584,-0.622479,-1.0127,1.24897,0.0387852,
-0.0362443,0.139267,0.89048,2.26338,0.137609,-0.00392037,1.83301,0.10816,-1.07916,1.03215,0.992557,1.25528,0.777904,0.554132,-0.0302046,
0.0123215,0.272409,0.798736,2.30167,-0.195289,0.182992,0.937368,-1.16284,-1.02653,1.36723,-0.294593,0.993399,0.98256,0.598536,-0.476954,
0.168141,0.265327,0.795532,2.485,0.300779,-0.171438,1.52152,-1.39468,-3.49672,0.944978,-2.06278,1.10558,1.70335,0.133197,-0.383628,
0.0980316,0.131696,0.834408,2.11434,0.0485978,0.0592538,0.425469,-0.589296,-3.41156,1.38869,-0.904313,-0.217523,0.821763,-1.20637,0.0782759,
0.210518,0.10144,0.511958,2.59174,0.0133847,0.115861,0.561025,-0.383445,-0.356547,2.31272,-0.184003,1.14327,0.689174,1.01467,-0.741949,
-0.0481016,0.114938,0.689312,2.45329,0.115186,0.0496074,2.38782,-1.25751,-2.91833,1.84919,-0.606926,0.369062,0.483872,0.831073,-0.0945193,
-0.277408,0.0997974,0.80549,2.23239,-0.0559518,-0.121796,2.01892,-0.886296,-3.50679,1.44044,0.815232,0.0227514,-1.20793,-0.114345,-0.162821,
0.295743,0.149883,0.640001,2.24268,-0.115964,-0.0331082,1.31926,-0.82724,-2.18438,1.73619,1.28479,-0.200935,-0.510011,1.02705,-0.0361271,
-0.0279882,0.256061,0.955739,2.27995,-0.024721,0.104047,0.257133,-1.22455,-2.12984,0.773356,-0.530822,0.955888,1.10006,-1.03637,-0.492824,
0.166316,-0.0911719,0.604867,2.39445,0.234629,0.0168594,1.52325,-0.0828228,-1.90036,2.09472,1.02948,1.15005,-0.0983261,0.987048,-0.122842,
-0.062555,-0.074579,0.531174,2.74947,0.150421,-0.0638052,2.68527,-1.1513,-3.46254,2.14447,0.371553,-0.129712,-0.590564,0.839857,-0.158505,
0.0500777,0.0598326,0.981706,2.29665,0.0841476,-0.0343279,0.519735,-0.213136,0.897377,0.036334,-0.659635,-0.76344,-1.63702,-1.03769,-0.199786,
0.205728,0.172865,0.983125,2.32509,0.131808,0.0604402,1.34146,-0.816105,0.638802,-0.219787,-1.09838,-0.936653,-1.52551,0.127023,-0.445796,
-0.00530867,0.0695119,0.954556,2.3501,-0.107936,0.14932,2.2011,-0.713481,-1.75878,1.06202,0.0533667,0.840112,0.933093,1.13166,-0.375271,
0.0110934,0.0330253,0.955764,2.32727,-0.0749052,0.0880707,0.460701,-0.066713,-0.507625,1.13002,-1.94641,-1.35977,-1.81414,-0.873576,-0.468245,
-0.142006,0.016016,0.825038,2.18213,-0.174483,0.0830998,2.66669,-1.34287,-3.48759,1.93105,-1.43569,-0.399693,1.52788,0.703015,-0.442633,
0.295769,-0.107773,0.715674,2.80258,-0.0598184,-0.0327048,1.37151,-1.13556,-2.77352,1.26586,1.1021,-0.745075,-0.730438,0.618645,-0.558236,
-0.0217842,0.205784,0.964952,2.30024,-0.0267155,-0.181101,1.52636,-0.406676,0.807057,0.421103,-1.02096,-1.19229,-1.36285,-0.11218,-0.275142,
0.0606498,0.0443276,0.548458,2.74065,-0.229108,0.0953807,1.45987,-0.0208543,-3.38917,0.93622,1.25038,-0.86195,-1.0538,-0.103661,0.563045,
0.200747,-0.0160034,0.70604,2.43586,0.190274,-0.195369,0.32201,-1.26762,-1.59657,1.87492,1.86699,0.0246994,-1.83021,0.363651,-0.606917,
0.0579322,0.0674168,0.480992,2.6404,-0.394182,0.217308,0.328626,-0.302182,-3.06658,1.48233,1.74622,-0.550585,-1.21395,-1.14815,0.611872,
0.205413,-0.0167172,0.8337,2.3618,0.106358,-0.147856,0.284415,0.115608,-0.533203,1.64315,0.787791,1.37652,1.04962,-0.487768,-0.573308,
0.0955489,0.0528882,0.708911,2.36685,-0.310987,0.205002,0.0679731,-1.21743,-0.837058,1.89704,0.0680052,0.247528,0.522574,0.546993,-0.713957,
0.147992,0.014397,0.365264,2.86008,0.348859,-0.0783215,1.22562,-0.896321,-2.1956,2.13839,-0.589784,0.644423,0.56908,0.627046,0.118047,
0.162504,-0.10996,0.469932,2.80578,0.331102,-0.251504,0.936268,-0.458617,-1.61093,2.09262,-0.000645892,0.721246,0.38521,0.776732,-0.343509,
0.251717,-0.0847806,0.567459,2.77563,0.257255,0.00141174,0.527432,-1.52095,-3.19091,2.04411,0.688189,-0.380277,-0.613322,-0.57515,-0.482646,
0.165728,0.18053,0.849861,2.15016,-0.0838932,0.182603,0.530745,-0.829831,-2.70248,1.35019,-0.650556,0.0929344,1.16123,-0.585086,-0.05758,
