t,- torso_lift_joint_velocity,- arm_1_joint_velocity,- arm_2_joint_velocity,- arm_3_joint_velocity,- arm_4_joint_velocity,- arm_5_joint_velocity,- arm_6_joint_velocity,- arm_7_joint_velocity
70.23008060455322,2.9314235154065452e-08,-0.00030974196310087546,0.00028206502351660394,0.00024379104935064337,-0.00021397972275356397,-2.268700542113532e-07,4.3600063769077505e-05,-7.959540124158907e-05
70.24086380004883,2.784852339636218e-08,-0.0002942548649458317,0.00026796177234077374,0.0002316014968831112,-0.00020328073661588577,-2.1552655150078553e-07,2.0228087973305016e-05,-5.4423658572190994e-05
70.25010585784912,2.645609722654407e-08,-0.0002795421216985401,0.00025456368372373504,0.0002200214220389556,-0.00027612533836767655,-2.0475022392574623e-07,-7.960269115005285e-05,4.7116899081111184e-05
70.26036715507507,2.5133292365216865e-08,-0.0002655650156136131,0.00024183549953754827,0.0002090203509370078,-0.0002623190714492927,-1.945127127294589e-07,-0.00014223562047291924,0.000155782827260914
70.27082371711731,2.387662774695602e-08,-0.00025228676483293245,0.00022974372456067085,0.00019856933339015742,-0.0003226244074486323,-1.8478707709298594e-07,-2.58664469226405e-05,3.873629337123553e-05
70.28054690361023,2.2682796359608218e-08,-0.0002396724265912858,0.0002975551552583442,0.00018864086672064952,-0.0007029862717041613,-1.7554772323833663e-07,-9.72449167940395e-07,1.3198803294105677e-05
70.28999018669128,2.1548656541627806e-08,-0.0002276888052617215,0.00028267739749542693,0.00017920882338461704,-0.001152003799393988,-1.667703370764198e-07,-9.238267095433748e-07,1.2538863129400392e-05
70.30085802078247,2.0471223714546416e-08,-0.00021630436499863544,0.00026854352762065555,0.00017024838221538617,-0.001235354373554355,-1.584318202225988e-07,-2.1852359535552667e-05,-9.062804188556092e-06
70.30998349189758,1.9447662528819095e-08,-0.00020548914674870365,0.0002551163512396228,0.00016173596310461685,-0.0011735866548766372,-1.5051022921146887e-07,-4.5821283321265693e-05,1.6451877783362376e-05
70.32033181190491,1.847527940237814e-08,-0.00019521468941126848,0.00024236053367764163,0.000153649164949386,-0.0011149073221328053,-1.429847177508954e-07,-0.00013171575519224657,5.972205191273309e-05
70.32996439933777,1.755151543225923e-08,-0.00018545395494070504,0.00023024250699375955,0.00022547148533785135,-0.001059161956026165,-1.3583548186335064e-07,-7.780590184974014e-05,5.673594931698854e-05
70.34067845344543,1.667393966064627e-08,-0.0001761812571936698,0.00021873038164407156,0.00021419791107095878,-0.0010062038582248566,-1.290437077701831e-07,3.265118709403583e-05,-1.0040924459582442e-05
