tau1,tau2,tau3,tau4,tau5,tau6
-112.29943792073537,11300.89575907961,4842.230234719628,72.19342792213925,-8.035044195312642,22.263266271962394
979.0319290566104,6118.812398978718,1236.301796306095,65.95157904472102,0.46820757263501095,-5.8399532494599855
375.88363151323387,-7217.283205412651,-2891.2559869773486,15.449351569183364,-8.6064628032698,5.292925260108418
-985.7396240989441,-12452.7866018336,-5856.291971634952,-23.220828634636806,5.741950593166293,0.3331129247261271
-1220.514719934864,-11054.926568033752,-6591.9175409691015,-40.311282681653566,13.665711063412628,-1.0695463300405414
-534.4756046638968,-11510.889116357783,-4748.619652667779,-13.63860838779593,-13.4449109079719,-2.7801363864573885
563.5008983224919,-5895.384013437186,-1078.6836238955377,36.74989348518292,7.9616599106754755,8.283813567939305
426.14269966718535,7451.361244454399,3017.968058618604,66.47246675158343,-14.743500304022808,0.9887364692408247
-785.7431913108613,12229.358510913637,5924.454495851734,51.83829617888662,9.926548657646123,10.416919277986727
-1315.0959605586954,10901.67409482754,6536.1378660898545,56.468753180062265,13.038144531209122,1.3893981039751637
-876.1539316858192,11279.736612698045,4537.537461345612,69.20791211020922,10.136755450325682,-2.523966685375551
282.35661734542657,4962.3514278384155,791.0921199584104,37.15856733996769,6.936297111543518,4.174158493425518
557.5093844316577,-8312.973022689055,-3279.16568008199,28.548258920835877,10.058928841744557,-6.219042747301168
-576.9476768258781,-12364.084465594644,-6046.575699214977,-40.5971409812225,3.187751203340954,0.14532771180455217
-1411.0730223029668,-11027.734051641437,-6485.80451930384,-45.34606226603389,7.06588858687234,4.956936851329812
-1219.752252156118,-11397.14676960297,-4425.165903417102,-14.428359464522266,30.00622182988642,9.96926699014992
15.26663968700521,-4660.532469750557,-667.1435376714726,57.473962751511955,10.677422023506697,-9.535945714863397
754.3272677518784,8490.875807998533,3377.090029404744,73.55756316827232,-5.5137576734559985,-5.105191895953701
-386.3024783586981,12118.116687161977,6043.605777995804,65.37667249899114,4.310075577775799,8.800060147015966
-1478.8945344133288,10870.747062390763,6395.293471478636,51.337017045192496,-4.359863583877597,-3.3843748143243175
-1449.293487486251,11064.839401656285,4189.895045051597,74.38294864710338,12.87994909325852,-3.614724652235143
-6.366217128484797,3671.04990769422,349.42306725724916,58.697352276515126,-2.6409043543974136,-16.50352932382489
974.6820295640247,-9278.652743639825,-3570.605882555769,3.633069100645315,-5.084534149060274,12.051673324477086
-266.65956329338576,-12185.060571642865,-6141.191631011613,-20.316623750727736,-21.300195262357384,14.024794670356433
-1535.220549740266,-10962.184294170547,-6332.316636620859,-44.10077163111348,-1.994621783124837,-18.610707494638216
-1609.7680007415647,-11170.203228486,-4025.7507312907737,12.103456907332816,18.794782048346203,14.919134135851964
-12.390423235470202,-3343.7054659922005,-213.26130736803884,59.59634134001753,-11.174352426406282,-1.177692316770209
1170.9331399873836,9402.242508052092,3681.1578456015877,76.87001147722474,-16.769355823649782,-19.437772611705533
-139.03777680537112,11911.892382832222,6159.661038894723,47.784806035822434,-1.4888494756448805,-2.962567397403779
-1480.9249399079547,10840.824731131303,6202.600679793355,47.23619111021008,9.224109408170168,-12.785273390111577
-1499.45857838374,10802.798725980028,3809.8389890370036,67.13966677785173,2.953851084747825,1.6713567242351521
