# timestamp, jointType, position.X, position.Y, position.Z, orientation.X, orientation.Y, orientation.Z, orientation.W, state
14165.8549, 20, 0.2664738, 0.1611735, 2.114303, 0.152477, 0.9834329, -0.09118079, 0.0360068, 2
14165.8549, 21, -0.141543, -0.3224678, 2.059847, 0, 0, 0, 0, 2
14165.8549, 22, -0.05776383, -0.2863841, 2.106166, 0, 0, 0, 0, 2
14165.8549, 23, 0.3880052, -0.5878905, 2.071184, 0, 0, 0, 0, 2
14165.8549, 24, 0.4866766, -0.5016805, 2.125214, 0, 0, 0, 0, 2
14199.9314, 0, 0.1159964, -0.3389969, 2.191587, 0.1371336, 0.9870892, -0.07035353, 0.04358467, 2
14199.9314, 1, 0.1999754, -0.05008024, 2.153084, 0.1373671, 0.9872289, -0.06989635, 0.04029643, 2
14199.9314, 2, 0.2901389, 0.2286007, 2.098837, 0.1490815, 0.981589, -0.115259, 0.03119576, 2
14199.9314, 3, 0.4046204, 0.3410459, 2.098355, 0, 0, 0, 0, 2
14199.9314, 4, 0.1239832, 0.1683211, 2.101162, -0.6792739, 0.7264075, -0.09829553, -0.03545537, 2
14199.9314, 5, -0.07779367, -0.0180119, 2.140581, 0.8503605, -0.3984785, -0.3356525, -0.07375254, 2
14199.9314, 6, -0.1364806, -0.2367456, 2.0674, 0.9757723, -0.1391561, 0.08598068, -0.1452978, 2
14199.9314, 7, -0.1336767, -0.2410958, 2.081602, 0.1681066, 0.5966654, 0.7846259, 0.009625369, 2
14199.9314, 8, 0.3802141, 0.04580908, 2.135966, 0.9235473, 0.3744198, -0.0223918, 0.07980534, 2
14199.9314, 9, 0.4134013, -0.1842222, 2.158602, 0.7421722, 0.08559104, 0.6646246, -0.01134114, 2
14199.9314, 10, 0.4400749, -0.4410944, 2.095945, 0.3019047, -0.09783399, 0.9445412, -0.08440371, 2
14199.9314, 11, 0.4175677, -0.5286242, 2.085682, 0.3291237, -0.09522278, 0.9342548, 0.09888414, 2
14199.9314, 12, 0.04694632, -0.3167137, 2.148916, -0.5570994, 0.7865458, -0.2393249, 0.1170883, 2
14199.9314, 13, 0.06284235, -0.6449044, 2.168598, 0.7386103, -0.002290713, -0.6730348, 0.03839026, 2
14199.9314, 14, 0.05675081, -0.9874945, 2.208049, 0.7275022, -0.04567574, -0.6836524, 0.03568849, 2
14199.9314, 15, 0.06292417, -1.011333, 2.105773, 0, 0, 0, 0, 2
14199.9314, 16, 0.1811472, -0.3510883, 2.163256, 0.7478041, 0.6318044, -0.1571011, -0.1301212, 2
14199.9314, 17, 0.2256377, -0.6740799, 2.15949, 0.6622773, 0.04106681, 0.7461091, -0.05498673, 2
14199.9314, 18, 0.2373137, -0.9970681, 2.202024, 0.6954874, 0.05939655, 0.7153315, 0.03271327, 2
14199.9314, 19, 0.2408618, -1.020823, 2.099962, 0, 0, 0, 0, 2
14199.9314, 20, 0.2679758, 0.1599395, 2.114874, 0.151021, 0.9836146, -0.09205981, 0.03492719, 2
14199.9314, 21, -0.1451886, -0.3064507, 2.063929, 0, 0, 0, 0, 2
14199.9314, 22, -0.05728681, -0.274453, 2.111834, 0, 0, 0, 0, 2
14199.9314, 23, 0.3867396, -0.6050729, 2.076197, 0, 0, 0, 0, 2
14199.9314, 24, 0.4848287, -0.4960258, 2.146937, 0, 0, 0, 0, 2
14232.8523, 0, 0.1148605, -0.3412105, 2.194468, 0.1439286, 0.9859341, -0.07329493, 0.042968, 2
14232.8523, 1, 0.202986, -0.0532908, 2.154322, 0.144173, 0.9860724, -0.07281289, 0.03966858, 2
14232.8523, 2, 0.2950202, 0.224731, 2.098854, 0.1521881, 0.9808979, -0.1173437, 0.0301426, 2
14232.8523, 3, 0.4271267, 0.3259894, 2.095469, 0, 0, 0, 0, 2
14232.8523, 4, 0.1282924, 0.1675341, 2.100129, -0.6714479, 0.7331561, -0.1022322, -0.03447368, 2
14232.8523, 5, -0.07409184, -0.0115477, 2.138378, 0.852334, -0.408593, -0.3187405, -0.07058996, 2
14232.8523, 6, -0.1369112, -0.2307542, 2.071064, 0.4979376, -0.1928406, 0.8444196, 0.04273373, 2
14232.8523, 7, -0.139175, -0.2569337, 2.082484, 0.5013191, 0.1542537, 0.8399627, 0.1390962, 2
14232.8523, 8, 0.3835469, 0.0364061, 2.136054, 0.9290653, 0.3608932, -0.02415618, 0.07752537, 2
14232.8523, 9, 0.4152052, -0.1932208, 2.161614, 0.7498446, 0.08750696, 0.6557925, -0.003446436, 2
14232.8523, 10, 0.4381973, -0.4521591, 2.101128, 0.4256108, -0.08452713, 0.896626, -0.08816159, 2
